"('date',_'')","('close',_'005930.ks')","('high',_'005930.ks')","('low',_'005930.ks')","('open',_'005930.ks')","('volume',_'005930.ks')"
2000-05-30,3886.8388671875,3886.8388671875,3886.8388671875,3886.8388671875,0
2000-05-31,4385.1513671875,4477.6951460404825,4242.776322798295,4271.251331676136,83935000
2000-06-01,4484.81591796875,4563.122227647569,4356.6783203125,4413.628363715277,50230000
2000-06-02,4712.6162109375,4911.941367895582,4634.309899275397,4762.447500177021,84385000
2000-06-05,4798.041015625,4968.8911408104605,4755.328484328636,4926.178609514095,48010000
2000-06-06,4798.041015625,4798.041015625,4798.041015625,4798.041015625,0
2000-06-07,4840.75244140625,4968.890006031709,4634.3085872874535,4698.377369600184,53365000
2000-06-08,4648.544921875,4954.651249042879,4648.544921875,4741.088695204824,58550000
2000-06-09,4997.36474609375,5011.602252492878,4648.545839315127,4698.377111712072,63860000
2000-06-12,5118.38525390625,5182.454054024687,5004.485164806806,5125.504009474965,49515000
2000-06-13,5025.8408203125,5054.315839124469,4890.584480955647,5025.8408203125,42495000
2000-06-14,5438.728515625,5438.728515625,5047.1970125368125,5146.85957695926,63020000
2000-06-15,4983.12744140625,5381.77763671875,4983.12744140625,5381.77763671875,61225000
2000-06-16,4798.041015625,4954.653630378339,4776.684749976818,4911.941099081973,66455000
2000-06-19,4769.564453125,4947.533276002799,4662.783159398321,4698.37692397388,53560000
2000-06-20,5082.78955078125,5111.264562270221,4862.108211741728,4940.414493336398,59790000
2000-06-21,5040.07666015625,5253.639230501854,5032.957907811397,5196.689211743026,37585000
2000-06-22,5011.60400390625,5175.335384715687,4954.653958407315,5153.979117653586,33635000
2000-06-23,4983.12744140625,4990.246194893973,4883.464892578125,4968.889934430803,29215000
2000-06-26,5132.6220703125,5239.403389389736,4976.009468999219,5054.315769655859,39980000
2000-06-27,5203.80908203125,5296.352882395691,5118.384035540997,5210.927835905438,45535000
2000-06-28,5353.30224609375,5367.539752067403,5139.739656488946,5139.739656488946,47295000
2000-06-29,5331.94677734375,5509.9156283899365,5253.640482883428,5410.2530718040725,61120000
2000-06-30,5253.6416015625,5367.541690485265,5189.572801543445,5296.354134908537,35250000
2000-07-03,5339.0654296875,5374.6591992187505,5282.1153984375005,5296.35290625,25975000
2000-07-04,5232.28466796875,5424.491043526786,5232.28466796875,5410.253534226191,32810000
2000-07-05,5289.2333984375,5353.302174461643,5232.28337530493,5260.7583868712145,24895000
2000-07-06,5196.68994140625,5232.2837081282105,5111.264901273545,5153.977421339898,60340000
2000-07-07,5239.404296875,5310.591855256454,5146.860470979111,5225.1667851987095,40580000
2000-07-10,5410.2548828125,5431.61115208676,5274.998510742188,5296.354780016448,42505000
2000-07-11,5303.47119140625,5509.915036440856,5303.47119140625,5396.01498400797,34945000
2000-07-12,5438.728515625,5452.966024828207,5310.590932796139,5353.303460405759,40140000
2000-07-13,5524.15283203125,5609.577875825548,5388.896512690279,5481.440310134101,48805000
2000-07-14,5374.66015625,5581.10405629139,5367.541401076159,5538.391525248344,30425000
2000-07-17,5374.66015625,5374.66015625,5374.66015625,5374.66015625,0
2000-07-18,5310.58984375,5424.4898940180965,5296.352337466488,5374.658622025804,19605000
2000-07-19,5310.58984375,5424.4898940180965,5296.352337466488,5374.658622025804,19605000
2000-07-20,4911.93994140625,5061.433765709919,4869.22742017663,5025.839998018569,40315000
2000-07-21,4926.17626953125,5018.720043380826,4812.276240177926,4954.651276869581,48395000
2000-07-24,4541.76513671875,4798.040285499119,4527.527628453175,4726.852744171239,49015000
2000-07-25,4470.57763671875,4556.002687101911,4356.6775695412025,4491.93389931454,56735000
2000-07-26,4662.78271484375,4684.1389715529585,4527.5264223521,4556.00143129771,54745000
2000-07-27,4434.9833984375,4527.527193268459,4342.439603606541,4427.864644988965,43540000
2000-07-28,4079.046142578125,4207.183717737647,4064.808634227067,4128.877421806828,83035000
2000-07-31,4200.06494140625,4207.183695544227,3950.908546577066,4079.0461210606463,46615000
2000-08-01,4427.865234375,4463.459006355507,4178.708830511455,4242.7776200763665,53120000
2000-08-02,4321.0849609375,4392.272522073208,4221.422375347508,4342.441229278213,37190000
2000-08-03,4292.60888671875,4399.3902023087685,4249.896360482742,4399.3902023087685,27815000
2000-08-04,4214.30224609375,4278.371030240445,4164.470969535209,4221.420999887828,23605000
2000-08-07,3972.26416015625,4107.520466684868,3972.26416015625,4086.1642077592965,28765000
2000-08-08,3972.26416015625,4093.282960734487,3965.1454071810595,4029.2141839577735,33475000
2000-08-09,4271.25146484375,4299.726474609375,4043.4513867187497,4043.4513867187497,39570000
2000-08-10,4385.1513671875,4385.1513671875,4171.588800603693,4271.251331676136,40830000
2000-08-11,4242.77734375,4321.083637007131,4185.827312290268,4271.252359479866,33840000
2000-08-14,4285.48974609375,4385.1522983284885,4271.252238631644,4313.964761017961,23730000
2000-08-15,4285.48974609375,4285.48974609375,4285.48974609375,4285.48974609375,0
2000-08-16,4570.23974609375,4648.546034578223,4506.170964606455,4627.189774082457,51915000
2000-08-17,4584.478515625,4669.90358113354,4513.29096103455,4612.95353746118,36345000
2000-08-18,4413.626953125,4641.427053931452,4413.626953125,4627.189547631048,21370000
2000-08-21,4463.4580078125,4513.289277437201,4406.507985384271,4413.6267381878,20950000
2000-08-22,4598.71533203125,4605.8340864152,4442.102735584365,4456.340244352265,27710000
2000-08-23,4406.50830078125,4591.595886920689,4385.152040842084,4591.595886920689,27905000
2000-08-24,4427.865234375,4484.81526954381,4342.440181621785,4456.340251959406,31700000
2000-08-25,4556.0029296875,4556.0029296875,4349.559046936035,4399.390328979493,21960000
2000-08-28,4506.1708984375,4541.764665407781,4456.339624679107,4513.289651831556,17630000
2000-08-29,4427.865234375,4541.7653047126205,4385.1527079983925,4499.052778336013,16765000
2000-08-30,4292.60888671875,4406.508956681437,4285.490132346082,4370.915184818097,23735000
2000-08-31,3893.95947265625,4200.065975991202,3829.8906696326553,4200.065975991202,114120000
2000-09-01,3943.791259765625,3986.503800485108,3858.366178326658,3943.7912597656245,49955000
2000-09-04,3801.412841796875,3950.9066052383255,3780.056589876668,3872.600348197566,28625000
2000-09-05,3666.158447265625,3801.414778329794,3580.7333960672026,3744.464744197512,79765000
2000-09-06,3666.158447265625,3758.7022527305826,3623.445921666414,3701.752218598301,53120000
2000-09-07,3409.883544921875,3545.1398859521787,3388.527280548669,3516.6648667879044,83905000
2000-09-08,3473.95361328125,3509.547400302574,3409.884796642866,3488.1911280897793,57170000
2000-09-11,3473.95361328125,3473.9536132812495,3473.9536132812495,3473.9536132812495,0
2000-09-12,3473.95361328125,3473.9536132812495,3473.9536132812495,3473.9536132812495,0
2000-09-13,3473.95361328125,3473.9536132812495,3473.9536132812495,3473.9536132812495,0
2000-09-14,3352.932373046875,3352.932373046875,3160.7260586683915,3274.626096818604,106130000
2000-09-15,3096.65771484375,3288.8640557650865,3061.0639480064656,3203.4390153556037,82695000
2000-09-18,2826.145263671875,2932.9265708635075,2633.9389107269362,2854.620278922977,146305000
2000-09-19,2961.402099609375,3110.895955599271,2776.314468383789,2840.3832638080303,100525000
2000-09-20,3274.62744140625,3317.3399732506796,3174.9648671025816,3274.62744140625,103410000
2000-09-21,3132.252197265625,3317.3398271040483,3075.3021573153405,3267.5085421475496,65445000
2000-09-22,2705.12744140625,2883.0963520250825,2690.8899285567436,2733.6024671052633,103265000
2000-09-25,2911.570068359375,2925.80757480612,2733.6012377750612,2762.0762506685514,65985000
2000-09-26,2847.5009765625,2875.9759863281247,2776.3134521484376,2776.3134521484376,58430000
2000-09-27,2868.857421875,2918.6886922301487,2819.026151519851,2847.501163151365,69795000
2000-09-28,2890.214111328125,2982.757912922375,2868.8578494217595,2918.689127203279,52470000
2000-09-29,2875.977783203125,2932.927838316058,2804.7902143119586,2932.927838316058,57535000
2000-10-02,2712.24560546875,2762.076889558727,2676.6518311187665,2733.6018700787404,41120000
2000-10-03,2712.24560546875,2712.24560546875,2712.24560546875,2712.24560546875,0
2000-10-04,2769.195556640625,2811.9080845065473,2555.632917311014,2633.939218398538,82635000
2000-10-05,2804.788330078125,2904.450859573287,2804.788330078125,2861.738346932503,62745000
2000-10-06,2776.314208984375,2776.314208984375,2676.6516476362176,2705.1266651642627,54935000
2000-10-09,2626.82080078125,2733.6021341463415,2619.7020452235774,2719.364623030996,63195000
2000-10-10,2605.464111328125,2712.245427366163,2555.632830510374,2633.9391289382684,62145000
2000-10-11,2292.2392578125,2463.0893888295805,2285.120502353455,2455.970633370536,103605000
2000-10-12,2235.288818359375,2334.9513771397296,2235.288818359375,2235.288818359375,79535000
2000-10-13,2156.982421875,2199.694945080446,2014.607344523515,2135.6261602722775,115295000
2000-10-16,2156.982421875,2156.982421875,2156.982421875,2156.982421875,0
2000-10-17,1950.5389404296875,2192.5766191691378,1943.4201851726448,2121.389066598711,65300000
2000-10-18,1943.41943359375,1964.7756911057693,1722.7381059695513,1808.1631360176282,164215000
2000-10-19,2064.438720703125,2171.220033842942,1914.9448823073815,1943.419899144666,137720000
2000-10-20,2370.545654296875,2370.545654296875,2270.8830742363457,2306.476852829392,118825000
2000-10-23,2278.00146484375,2505.801611328125,2249.5264465332034,2484.445347595215,139960000
2000-10-24,2377.66455078125,2434.614599901759,2206.814403419723,2263.764452540232,97115000
2000-10-25,2285.119873046875,2320.713640539817,2228.169845058168,2278.0011195482866,68730000
2000-10-26,2057.31982421875,2156.9823762570286,1950.5385184634517,2085.7948390868296,133290000
2000-10-27,2057.31982421875,2057.31982421875,2057.31982421875,2057.31982421875,0
2000-10-30,1957.657470703125,2050.201278409091,1936.3012073863638,1993.2512428977275,36830000
2000-10-31,2028.844482421875,2028.844482421875,1872.231925884046,1957.6569567228617,63190000
2000-11-01,2320.713623046875,2327.832376491804,2107.151019699003,2135.6260334787194,94165000
2000-11-02,2363.42626953125,2441.7325615940326,2256.6449621729107,2278.0012236445787,123180000
2000-11-03,2448.851318359375,2470.2075798566952,2399.0200415322947,2434.613810694495,80420000
2000-11-06,2498.682373046875,2612.582424239895,2406.1385814525465,2463.0886070490565,71865000
2000-11-07,2448.851318359375,2527.1576105162153,2406.1387953647345,2463.088826024255,53740000
